source_id,source,data_layer,url,citation,source_scope,analysis_status
SRC001,MozAtlas / GEO GSE21689,adult tissue expression,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE21689,Baker et al. 2011; doi:10.1186/1471-2164-12-296,60 samples; 15 adult tissue/sex groups; 4 replicates each,Source identified; automated GEOquery retrieval scripted
SRC002,VEuPathDB / VectorBase,genome annotation and orthology,https://vectorbase.org/,Alvarez-Jarreta et al. 2024; doi:10.1093/nar/gkad1003,AgamP4/PEST annotation and vector functional genomics,Automated BioMart/annotation retrieval scripted
SRC003,FlyBase,Drosophila phenotype/orthology evidence,https://flybase.org/,Öztürk-Çolak et al. 2024; doi:10.1093/genetics/iyad211,Sterility/reproductive phenotype vocabulary and gene evidence,Automated query/import scripted; release must be recorded at execution
SRC004,MalariaGEN Ag1000G Phase 3,population genomic variation,https://www.malariagen.net/project/ag1000g/,"Ag1000G Phase 3; 2,784 wild mosquitoes from 19 African countries",Genome-wide SNP/haplotype layer,Full external data run required; reticulate/malariagen_data workflow scripted
SRC005,Schmidt et al. conserved CRISPR target survey,CRISPR editability and standing-variation benchmark,https://github.com/travc/Cas9_target_site_survey,Schmidt et al. 2020; doi:10.1038/s41467-020-15204-0,"AgamP4.11 target-site survey; 12,562 protein-coding genes",Public code/data source identified; ingest script included
SRC006,Hammond et al. 2016,female-sterility benchmark targets and historical model,https://www.nature.com/articles/nbt.3439,doi:10.1038/nbt.3439,"AGAP005958, AGAP011377, AGAP007280; 271 genes reported with P(sterile)>=0.5",Benchmark values curated from article/supplement descriptions
SRC007,Kyrou et al. 2018,doublesex landmark validation,https://www.nature.com/articles/nbt.4245,doi:10.1038/nbt.4245,AGAP004050/doublesex; complete cage suppression,Benchmark validation only; excluded from training during hold-out test
SRC008,Morianou et al. 2026,evolutionary resistance benchmark,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.3003879,doi:10.1371/journal.pbio.3003879,Single-target resistance stress test and multiplexed dsx designs,Used to motivate resistance/evolutionary robustness layer; not used as a fabricated genome-wide score
SRC009,Hoermann et al. 2025 mir-184 study,suppression-modification landmark,https://www.nature.com/articles/s41467-025-58954-5,Nature Communications 16:3923 (2025),AGAP028779 / mir-184,Secondary landmark; not a protein-coding gene and analyzed separately
SRC010,Li et al. 2025 FREP1 study,population-modification biological benchmark,https://www.nature.com/articles/s41586-025-09283-6,Nature 645:746-754 (2025),FREP1 protective allele; An. stephensi experimental validation; An. gambiae ortholog AGAP007031,Cross-species secondary validation only
